no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,weather,temperature,tidal
2577,3/16/2022 8:55:40 PM,"0150deb7d0,0338",U0c296d47625964bbaf834513dc2d5668,曾記滿福堂擔仔麵,23.57406,119.57323000000001,358644,40,0,陰,20.5,2
2579,3/16/2022 9:02:57 AM,"0150deb7d0,0074",Uc29afc3b7c255de25b9b14f224b4a3f5,媽宮海產行到了！,23.56491,119.56533,356189,21,1,陰,20.5,2
2581,3/16/2022 9:05:48 PM,"0150deb7d0,0173",Ue189b54140f60f6fed524e35047b7e67,綺樂Chi Love 仙人掌彩虹霜淇淋,23.565479999999997,119.56532,358681,65,1,陰,20.5,2
2582,3/16/2022 9:07:16 AM,"0150deb7d0,0244",Uc29afc3b7c255de25b9b14f224b4a3f5,三ㄚ店&潮style,23.56705,119.56538,356213,21,1,陰,20.5,2
2583,3/16/2022 9:10:53 AM,"0150deb7d0,0437",Uc29afc3b7c255de25b9b14f224b4a3f5,台灣大餅早午餐,23.56718,119.56441000000001,356226,21,1,陰,20.5,2
2584,3/16/2022 9:13:14 AM,"0150deb7d0,0395",Uc29afc3b7c255de25b9b14f224b4a3f5,大口香雞排,23.56719,119.56471,356232,21,1,陰,20.5,2
2585,3/16/2022 9:14:34 PM,"0150deb7d0,0196",U964abc9d948bfeafba4e573c12b14365,馬路益燒肉飯,23.56596,119.56523,358710,62,1,陰,20.5,2
2586,3/16/2022 9:16:38 PM,"0150deb7d0,0144",Ue189b54140f60f6fed524e35047b7e67,小小間,23.57003,119.56901,358719,65,1,陰,20.5,2
2587,3/16/2022 9:23:39 AM,"0150deb7d0,0062",U58001d9adfe8f94262b41bcaf841093b,小和食光輕食館,23.57465715,119.5734249,356259,73,0,陰,20.5,2
2588,3/16/2022 9:42:17 AM,"0150deb7d0,0246",Uc29afc3b7c255de25b9b14f224b4a3f5,達咖啡,23.56737,119.56745,356300,21,1,陰,20.5,2
2589,3/16/2022 9:44:04 PM,"0150deb7d0,0393",U2a61f0c04f909838b1b52cce31614069,紐西蘭牛排館,23.57295,119.57542,358837,17,0,陰,20.5,2
2592,3/17/2022 1:21:56 PM,"0150deb7d0,0384",Ue189b54140f60f6fed524e35047b7e67,葉子的店,23.574289999999998,119.57824,360152,65,1,雨陰,20.0,1
2593,3/17/2022 1:23:56 PM,"0150deb7d0,0365",U03d32f17c0cbd61f601a8566269a2373,臭臉大叔?烤甜圈,23.56494,119.56493999999999,360161,20,1,雨陰,20.0,1
2595,3/17/2022 10:16:25 AM,"0150deb7d0,0109",U67a7a0290b58d9e0f8cff519fe54860b,萬泰食品,23.57515,119.56778999999999,359623,54,1,雨陰,20.0,2
2596,3/17/2022 10:24:18 PM,"0150deb7d0,0218",U8878e49b88921b0451c85b8d80b496be,滷底撈-澎湖店,23.564989999999998,119.58107,362040,79,1,雨陰,20.0,2
2597,3/17/2022 10:28:10 AM,"0150deb7d0,0040",U521aee7bfd021be26d956edfe007b956,自由塔,23.56993769,119.5713121,359651,30,1,雨陰,20.0,2
2599,3/17/2022 11:05:50 AM,"0150deb7d0,0327",Ufb55cf9c80d5552ee0acf2fd81a4c299,西河食堂海鮮粥,23.56484,119.5652,359729,59,1,雨陰,20.0,2
2602,3/17/2022 11:20:36 AM,"0150deb7d0,0068",U2a07ef3a0c129e16f8b7272554f52bc4,弗洛伊得飲酒店,23.56755,119.56811,359768,60,1,雨陰,20.0,2
2603,3/17/2022 11:29:29 AM,"0150deb7d0,0134",Ufb55cf9c80d5552ee0acf2fd81a4c299,呷飽飽燒烤屋,23.57558,119.58025,359785,59,1,雨陰,20.0,2
2607,3/17/2022 12:00:08 PM,"0150deb7d0,0386",U42cd1dac03b8d84f1d468a0ff03d9969,四季肉圓專賣店,23.573339999999998,119.57233000000001,359867,42,1,雨陰,20.0,2
