no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,weather,temperature,tidal
0,2/1/2022 1:07:51 PM,"0150deb7d0,0089",Ud12b72cb97ad69f841efe9b974ffdbe1,吳家小館,23.63269,119.59865,226186,54,0,風雨,10.5,2
1,2/1/2022 1:19:12 PM,"0150deb7d0,0340",Ua3e61aaf987823389bb9e5792db3b17d,某個角落,23.56492,119.56492,226211,22,1,風雨,10.5,2
2,2/1/2022 1:29:49 PM,"0150deb7d0,0102",U5fd8a6c36b2a2370bb0184a98f40b911,清心飲食店,23.600179999999998,119.50975,226243,47,0,風雨,10.5,2
4,2/1/2022 1:42:42 PM,"0150deb7d0,0171",U5bd82e43dc73309eeb6907f4289db0b1,蒙地卡羅咖啡館,23.56733,119.56683000000001,226267,79,1,風雨,10.5,2
5,2/1/2022 1:44:04 AM,"0150deb7d0,0112",U16f92b0df914c40495c60e84bf79adba,劉正港檸檬汁-中華店,23.572039999999998,119.57574,225183,40,0,風雨,10.5,1
6,2/1/2022 1:44:21 AM,"0150deb7d0,0112",U715df1e900eb20c8a489602d1d2ea5cc,劉正港檸檬汁-中華店,23.572039999999998,119.57574,225185,76,1,風雨,10.5,1
8,2/1/2022 1:57:01 PM,"0150deb7d0,0237",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,振發食品行,23.56413,119.5642,226301,58,1,風雨,10.5,1
9,2/1/2022 10:01:09 PM,"0150deb7d0,0384",U0d5a39ecd31b0b2b63f941e2d03cb796,葉子的店,23.574289999999998,119.57824,227469,67,0,風雨,10.5,2
13,2/1/2022 10:36:26 PM,"0150deb7d0,0401",U58001d9adfe8f94262b41bcaf841093b,駱哥港式點心,23.565839999999998,119.56856,227536,73,0,風雨,10.5,2
14,2/1/2022 10:39:07 PM,"0150deb7d0,0157",Uc6ca45181f84f93c8037448e8d1945cd,鮮食堂海鮮蒸鍋,23.56566,119.56461999999999,227541,59,0,風雨,10.5,2
19,2/1/2022 11:28:45 PM,"0150deb7d0,0024",U3c29e39a18fb2239afcf1a9ce5da3d09,澎漁宴餐廳,23.56625705,119.56901620000001,227606,80,0,風雨,10.5,2
20,2/1/2022 11:30:33 AM,"0150deb7d0,0187",Uf4a9fa99caa0a39087a140f14921328b,雨軒冰茶,23.58504,119.65937,225899,47,1,風雨,10.5,2
23,2/1/2022 11:52:44 AM,"0150deb7d0,0360",U3bc29efa4e459e4802139b075e9574e8,芳遠水果行,23.567510000000002,119.56721,225938,63,1,風雨,10.5,2
24,2/1/2022 11:55:39 AM,"0150deb7d0,0328",Ud396de5c092143ad087e50d3fbcd042d,瑞師父海菜煎餅,23.56579,119.56541999999999,225947,24,1,風雨,10.5,2
26,2/1/2022 12:01:57 AM,"0150deb7d0,0175",U9572c40e3c203b07c0391eaf8b27a9d4,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57101999999999,225072,56,1,風雨,10.5,2
28,2/1/2022 12:06:32 AM,"0150deb7d0,0069",U1533b24c18a3e1f1479bdb79969431d9,岩田丼屋歡迎您！,23.57708,119.57257,225079,67,1,風雨,10.5,2
30,2/1/2022 12:07:03 AM,"0150deb7d0,0033",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,澎福食品行,23.58479347,119.6631239,225080,58,1,風雨,10.5,2
31,2/1/2022 12:07:34 PM,"0150deb7d0,0028",U70e839055608596fa7b05aefe69821e3,富勝食品企業行,23.54909,119.61928999999999,225984,29,1,風雨,10.5,2
32,2/1/2022 12:09:13 AM,"0150deb7d0,0240",U7f3b78bc013a2e7bb853218f9817e79c,文化路蔥油餅,23.56825,119.56753,225081,23,0,風雨,10.5,2
34,2/1/2022 12:13:20 AM,"0150deb7d0,0295",U7f3b78bc013a2e7bb853218f9817e79c,獨領風騷,23.56815,119.56751000000001,225085,23,0,風雨,10.5,2
35,2/1/2022 12:19:21 AM,"0150deb7d0,0291",U3bc29efa4e459e4802139b075e9574e8,天津蔥抓餅,23.57431,119.5792,225092,63,1,風雨,10.5,2
36,2/1/2022 12:20:27 AM,"0150deb7d0,0177",U8eb2e7fe550a6d1e4a1519e405d3c917,夏天茶飲,23.571839999999998,119.57075,225094,18,1,風雨,10.5,2
37,2/1/2022 12:21:04 AM,"0150deb7d0,0335",Uaae89b5752af1bf17f87d9cf02d03e41,外婆麵猴,23.57246,119.57467,225095,54,0,風雨,10.5,2
38,2/1/2022 12:22:04 PM,"0150deb7d0,0395",U317cec3c5157e6f8bb09cfb3a514f5cc,大口香雞排,23.56719,119.56471,226040,64,0,風雨,10.5,2
39,2/1/2022 12:24:40 PM,"0150deb7d0,0202",U1b7003bab2aaf402832cd6851b431769,原豆工坊咖啡專賣店,23.56409,119.56508000000001,226051,49,1,風雨,10.5,2
42,2/1/2022 12:42:30 AM,"0150deb7d0,0384",U3bc29efa4e459e4802139b075e9574e8,葉子的店,23.574289999999998,119.57824,225131,63,1,風雨,10.5,2
44,2/1/2022 2:09:45 PM,"0150deb7d0,0332",U863b8cae579201d96dab41d5e002a5a3,小螞蟻牛排,23.568360000000002,119.56831000000001,226341,31,0,風雨,10.5,1
45,2/1/2022 2:23:41 PM,"0150deb7d0,0078",Uaae89b5752af1bf17f87d9cf02d03e41,白灣景觀餐廳,23.56154,119.64737,226380,54,0,風雨,10.5,1
46,2/1/2022 2:31:49 PM,"0150deb7d0,0438",U41cdbf64df0886d0acae01076f860cb9,愛家好朋友素食屋,23.577270000000002,119.57231000000002,226403,51,1,風雨,10.5,1
50,2/1/2022 2:48:50 PM,"0150deb7d0,0290",U863b8cae579201d96dab41d5e002a5a3,老餅新料蔥油餅,23.57605,119.57486000000002,226439,31,0,風雨,10.5,1
52,2/1/2022 3:11:20 PM,"0150deb7d0,0281",Ue1f9ea92a0df617e7e86b7ad1106c5e2,霸味薑母鴨,23.5705,119.57567,226504,67,1,風雨,10.5,0
53,2/1/2022 3:11:44 PM,"0150deb7d0,0442",U0ecca1d37264bc79c881ea6b7a03cc5b,佶肯美式漢堡炸雞,23.56354,119.56658999999999,226511,21,0,風雨,10.5,0
56,2/1/2022 3:46:27 PM,"0150deb7d0,0266",U84d3f6e73571a6a5db8cabb3f2759eaa,外垵福氣刈包,23.56469,119.47946,226601,53,1,風雨,10.5,0
57,2/1/2022 3:58:33 PM,"0150deb7d0,0064",U6700554e734c9f720440c275b8b13b96,我們是望安CAFE,23.56506,119.56816,226624,16,1,風雨,10.5,0
61,2/1/2022 4:37:43 AM,"0150deb7d0,0066",U3404039d365530b0fa956fe36d03d68b,北海道海產專賣店,23.566370000000003,119.56886000000002,225298,73,1,風雨,10.5,0
62,2/1/2022 4:46:12 PM,"0150deb7d0,0308",U06d6966af476ff8ac22df66626410381,沐一日式豬排專賣店,23.57319,119.57316000000002,226730,72,0,風雨,10.5,0
64,2/1/2022 5:18:40 PM,"0150deb7d0,0150",U84d3f6e73571a6a5db8cabb3f2759eaa,好享吃小火鍋,23.56745,119.56641,226810,53,1,風雨,10.5,0
65,2/1/2022 5:31:52 PM,"0150deb7d0,0244",U317cec3c5157e6f8bb09cfb3a514f5cc,三ㄚ店&潮style,23.56705,119.56538,226849,64,0,風雨,10.5,0
66,2/1/2022 5:32:37 PM,"0150deb7d0,0305",U62e621513454187f94290692689f56ad,桃太郎日式料理,23.566129999999998,119.56468000000001,226854,24,0,風雨,10.5,0
67,2/1/2022 5:38:39 PM,"0150deb7d0,0032",Ud12b72cb97ad69f841efe9b974ffdbe1,澎湖伯伴手禮坊,23.57123973,119.5799884,226872,54,0,風雨,10.5,0
69,2/1/2022 6:13:35 PM,"0150deb7d0,0014",Ud12b72cb97ad69f841efe9b974ffdbe1,六六八餐廳,23.57152446,119.5676683,226977,54,0,風雨,10.5,0
70,2/1/2022 6:26:27 PM,"0150deb7d0,0020",U6700554e734c9f720440c275b8b13b96,漁夫才哥企業社,23.58167831,119.638447,227000,16,1,風雨,10.5,0
71,2/1/2022 6:26:39 AM,"0150deb7d0,0238",U78abaddc12fb13da74ea5cf110c3e776,澎湖水仙宮,23.56385,119.56416000000002,225415,78,1,風雨,10.5,0
72,2/1/2022 6:57:48 PM,"0150deb7d0,0160",U54d5e3f6e7f2d29a5a7200b210fe4892,海玩子雞蛋糕,23.56997,119.56894,227066,64,0,風雨,10.5,0
74,2/1/2022 7:24:27 PM,"0150deb7d0,0009",Ud12b72cb97ad69f841efe9b974ffdbe1,海口峰海產行,23.56315044,119.58316119999999,227124,54,0,風雨,10.5,1
76,2/1/2022 7:35:35 PM,"0150deb7d0,0216",U863b8cae579201d96dab41d5e002a5a3,新巴適經典麻辣鍋,23.57179,119.57882,227148,31,0,風雨,10.5,1
77,2/1/2022 7:39:45 AM,"0150deb7d0,0187",Ud66db3a385e85e727a0ab9f3d4130cc0,雨軒冰茶,23.58504,119.65937,225465,69,1,風雨,10.5,1
78,2/1/2022 7:40:42 AM,"0150deb7d0,0020",Ua3939a175af1ebc9979229dc604647ec,漁夫才哥企業社,23.58167831,119.638447,225466,78,1,風雨,10.5,1
79,2/1/2022 7:48:46 PM,"0150deb7d0,0336",U3c29e39a18fb2239afcf1a9ce5da3d09,品川元麻辣串串,23.56319,119.59046000000001,227180,80,0,風雨,10.5,1
80,2/1/2022 7:55:20 PM,"0150deb7d0,0149",U58001d9adfe8f94262b41bcaf841093b,拾捌度C鮮果茶飲站,23.574360000000002,119.5795,227194,73,0,風雨,10.5,1
81,2/1/2022 7:55:44 AM,"0150deb7d0,0237",U78abaddc12fb13da74ea5cf110c3e776,振發食品行,23.56413,119.5642,225483,78,1,風雨,10.5,1
82,2/1/2022 7:57:12 AM,"0150deb7d0,0210",U0b14300de9a4d57d38b5599bb17c5fc4,蔬脆蛋餅,23.56632,119.56511,225485,72,1,風雨,10.5,1
84,2/1/2022 8:07:37 PM,"0150deb7d0,0038",Ucdba1bf15e1eb63bbe2a6bc301d768d0,石滬廣場站,23.56312198,119.5648365,227218,62,1,風雨,10.5,1
86,2/1/2022 8:25:41 PM,"0150deb7d0,0009",U0ecca1d37264bc79c881ea6b7a03cc5b,海口峰海產行,23.56315044,119.58316119999999,227259,21,0,風雨,10.5,1
87,2/1/2022 8:36:58 AM,"0150deb7d0,0189",U6578f650fb2e12f080ace324fd338c80,旭西餅舖,23.58575,119.65961000000001,225513,19,1,風雨,10.5,1
89,2/1/2022 9:00:57 AM,"0150deb7d0,0282",U7676d997af8f09860c497735040717d5,新臺澎海產購物中心,23.56733,119.56716999999999,225555,24,0,風雨,10.5,1
92,2/1/2022 9:08:30 AM,"0150deb7d0,0311",U818fd6da9a2a8e5b11cf9562a14849d0,澎湖 朝陽路肉圓,23.57339,119.57696999999999,225587,62,0,風雨,10.5,1
93,2/1/2022 9:22:23 AM,"0150deb7d0,0157",U58001d9adfe8f94262b41bcaf841093b,鮮食堂海鮮蒸鍋,23.56566,119.56461999999999,225609,73,0,風雨,10.5,1
98,2/1/2022 9:59:59 AM,"0150deb7d0,0387",U818fd6da9a2a8e5b11cf9562a14849d0,純意居蔬食超市,23.57356,119.57633999999999,225688,62,0,風雨,10.5,2
101,2/10/2022 1:17:35 PM,"0150deb7d0,0036",U1f2baccfa1b2d88b8f29575722fb2121,岩質咖啡,23.56646069,119.57904930000001,248711,42,0,陰風,13.0,0
102,2/10/2022 1:17:36 PM,"0150deb7d0,0050",U1f2baccfa1b2d88b8f29575722fb2121,澎湖海洋地質公園中心,23.56633846,119.5787976,248712,42,0,陰風,13.0,0
103,2/10/2022 1:28:16 PM,"0150deb7d0,0057",U69b0447bac1e28d81d936460bb471e45,澎湖海洋地質公園中心(1F),23.56642,119.57891000000001,248767,60,1,陰風,13.0,0
107,2/10/2022 10:47:15 AM,"0150deb7d0,0074",Udc2acab56b09deeed9ec2d76a1fd169e,媽宮海產行到了！,23.56491,119.56533,248278,80,1,陰風,13.0,0
109,2/10/2022 11:01:00 PM,"0150deb7d0,0252",U38c7bdd36eb764384f5a6071a362651f,飛特潛艦Victor Johni’R,23.56737,119.56745,250682,25,0,陰風,13.0,1
110,2/10/2022 11:04:47 AM,"0150deb7d0,0393",Ub248b130077deabae7f715d3c6eac3f9,紐西蘭牛排館,23.57295,119.57542,248298,48,1,陰風,13.0,0
112,2/10/2022 11:05:51 PM,"0150deb7d0,0144",U38c7bdd36eb764384f5a6071a362651f,小小間,23.57003,119.56901,250694,25,0,陰風,13.0,1
113,2/10/2022 11:12:06 PM,"0150deb7d0,0177",U38c7bdd36eb764384f5a6071a362651f,夏天茶飲,23.571839999999998,119.57075,250704,25,0,陰風,13.0,1
114,2/10/2022 11:28:22 PM,"0150deb7d0,0371",U38c7bdd36eb764384f5a6071a362651f,阿鳳牛肉河粉,23.57142,119.57238999999998,250724,25,0,陰風,13.0,1
116,2/10/2022 11:37:53 AM,"0150deb7d0,0371",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,阿鳳牛肉河粉,23.57142,119.57238999999998,248369,40,0,陰風,13.0,0
118,2/10/2022 11:46:47 AM,"0150deb7d0,0144",U898548b221dd0e23c4624e82ccaf6fb4,小小間,23.57003,119.56901,248393,40,0,陰風,13.0,0
119,2/10/2022 11:49:00 AM,"0150deb7d0,0134",U863b8cae579201d96dab41d5e002a5a3,呷飽飽燒烤屋,23.57558,119.58025,248402,31,0,陰風,13.0,0
121,2/10/2022 11:49:34 AM,"0150deb7d0,0072",U1533b24c18a3e1f1479bdb79969431d9,日香美食坊歡迎您～,23.57466,119.5768,248408,67,1,陰風,13.0,0
122,2/10/2022 12:11:35 PM,"0150deb7d0,0338",U1533b24c18a3e1f1479bdb79969431d9,曾記滿福堂擔仔麵,23.57406,119.57323000000001,248484,67,1,陰風,13.0,1
123,2/10/2022 12:14:00 PM,"0150deb7d0,0308",Uac8f1738516975144175970d61cd80a6,沐一日式豬排專賣店,23.57319,119.57316000000002,248496,63,0,陰風,13.0,1
124,2/10/2022 12:19:33 AM,"0150deb7d0,0386",U317cec3c5157e6f8bb09cfb3a514f5cc,四季肉圓專賣店,23.573339999999998,119.57233000000001,248002,64,0,陰風,13.0,0
127,2/10/2022 12:31:22 PM,"0150deb7d0,0016",Ubaf58e50e1a0f6cf64739737b2398b0f,海島海產大賣場,23.56576883,119.56551359999999,248543,20,1,陰風,13.0,1
128,2/10/2022 12:32:05 PM,"0150deb7d0,0197",U1533b24c18a3e1f1479bdb79969431d9,嚐香聚牛肉麵,23.57425,119.57308,248545,67,1,陰風,13.0,1
130,2/10/2022 12:35:12 PM,"0150deb7d0,0227",Ua5d612b844f3c29bede3e6e5528797f5,小林包子饅頭店,23.5685,119.56895,248560,59,0,陰風,13.0,1
131,2/10/2022 12:42:35 PM,"0150deb7d0,0426",Ubf9613667a2d109d9f26efb31b8cc1e3,秋禾家和風創意料理,23.561870000000003,119.58124,248592,45,0,陰風,13.0,1
132,2/10/2022 12:48:40 PM,"0150deb7d0,0091",U7f8cc11658910a8d1e4cbb29fdd94e25,玻玻飲食店,23.579710000000002,119.57923999999998,248598,66,0,陰風,13.0,1
134,2/10/2022 2:08:52 PM,"0150deb7d0,0289",U818fd6da9a2a8e5b11cf9562a14849d0,抓包．馬公分店,23.5729,119.57694,248875,62,0,陰風,13.0,1
135,2/10/2022 2:19:53 PM,"0150deb7d0,0432",U0d5a39ecd31b0b2b63f941e2d03cb796,多那之澎湖店,23.56483,119.56537,248910,67,0,陰風,13.0,1
137,2/10/2022 2:31:46 PM,"0150deb7d0,0021",U317cec3c5157e6f8bb09cfb3a514f5cc,希望天地珊瑚珍珠,23.56519326,119.56750320000002,248940,64,0,陰風,13.0,1
141,2/10/2022 2:51:28 PM,"0150deb7d0,0250",U50284f2fcdf83512e9e4968a77e2a672,最愛小米甜甜圈,23.58469,119.66216000000001,249048,55,1,陰風,13.0,1
142,2/10/2022 2:57:59 PM,"0150deb7d0,0360",U317cec3c5157e6f8bb09cfb3a514f5cc,芳遠水果行,23.567510000000002,119.56721,249083,64,0,陰風,13.0,1
143,2/10/2022 3:01:46 PM,"0150deb7d0,0240",U317cec3c5157e6f8bb09cfb3a514f5cc,文化路蔥油餅,23.56825,119.56753,249100,64,0,陰風,13.0,1
145,2/10/2022 3:27:38 PM,"0150deb7d0,0374",U67a7a0290b58d9e0f8cff519fe54860b,奶油蝴蝶烘焙坊,23.57647,119.57387,249228,54,1,陰風,13.0,1
149,2/10/2022 3:33:13 PM,"0150deb7d0,0330",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,招柴莉莉,23.572779999999998,119.57503999999999,249248,58,1,陰風,13.0,1
155,2/10/2022 3:56:55 PM,"0150deb7d0,0222",U67a7a0290b58d9e0f8cff519fe54860b,O le pain 喔！麵包,23.57111,119.57982,249337,54,1,陰風,13.0,1
156,2/10/2022 3:59:28 PM,"0150deb7d0,0197",U777bd7ab1fdf2dd08c34b34acdcf50d9,嚐香聚牛肉麵,23.57425,119.57308,249343,52,0,陰風,13.0,1
157,2/10/2022 4:02:12 PM,"0150deb7d0,0384",Ua3939a175af1ebc9979229dc604647ec,葉子的店,23.574289999999998,119.57824,249357,78,1,陰風,13.0,1
159,2/10/2022 5:19:32 PM,"0150deb7d0,0347",U980b777af61d81386b425fd47e220136,提樂茶飲專賣店,23.566679999999998,119.5654,249602,57,1,陰風,13.0,2
160,2/10/2022 5:22:18 PM,"0150deb7d0,0329",Ud9f189e6e4cbc8628e6994a3adc90939,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,249614,55,0,陰風,13.0,2
161,2/10/2022 5:54:29 PM,"0150deb7d0,0432",Ud9f189e6e4cbc8628e6994a3adc90939,多那之澎湖店,23.56483,119.56537,249708,55,0,陰風,13.0,2
162,2/10/2022 5:56:37 PM,"0150deb7d0,0432",Uc90a03dc5c8efd275ba07ee176e23375,多那之澎湖店,23.56483,119.56537,249718,73,1,陰風,13.0,2
163,2/10/2022 5:57:46 PM,"0150deb7d0,0069",U9cacbab869f82d21cfb11584e3c73299,岩田丼屋歡迎您！,23.57708,119.57257,249727,33,0,陰風,13.0,2
165,2/10/2022 6:05:16 PM,"0150deb7d0,0218",U7676d997af8f09860c497735040717d5,滷底撈-澎湖店,23.564989999999998,119.58107,249755,24,0,陰風,13.0,2
167,2/10/2022 6:14:11 PM,"0150deb7d0,0289",U3bef99915c174d00c8771be3302bef5d,抓包．馬公分店,23.5729,119.57694,249785,36,0,陰風,13.0,2
170,2/10/2022 6:33:55 PM,"0150deb7d0,0016",Uab0c17a03c299ff3beb9c2815e87e385,海島海產大賣場,23.56576883,119.56551359999999,249822,45,0,陰風,13.0,2
173,2/10/2022 6:55:36 PM,"0150deb7d0,0305",U7a89fa99cb80c8496590501db322b56c,桃太郎日式料理,23.566129999999998,119.56468000000001,249891,49,0,陰風,13.0,2
174,2/10/2022 7:02:59 PM,"0150deb7d0,0162",U7a89fa99cb80c8496590501db322b56c,鯨 鯊威瑪,23.5667,119.56478999999999,249930,49,0,陰風,13.0,2
175,2/10/2022 7:10:14 PM,"0150deb7d0,0144",U7a89fa99cb80c8496590501db322b56c,小小間,23.57003,119.56901,249961,49,0,陰風,13.0,2
177,2/10/2022 7:19:34 PM,"0150deb7d0,0338",Ud0855c645710344a6f1db42868300fb2,曾記滿福堂擔仔麵,23.57406,119.57323000000001,250003,28,0,陰風,13.0,2
180,2/10/2022 7:38:43 PM,"0150deb7d0,0249",U317cec3c5157e6f8bb09cfb3a514f5cc,秋喜肉蛋吐司,23.56867,119.5675,250047,64,0,陰風,13.0,2
181,2/10/2022 7:40:10 PM,"0150deb7d0,0144",U317cec3c5157e6f8bb09cfb3a514f5cc,小小間,23.57003,119.56901,250050,64,0,陰風,13.0,2
182,2/10/2022 7:44:40 PM,"0150deb7d0,0072",U317cec3c5157e6f8bb09cfb3a514f5cc,日香美食坊歡迎您～,23.57466,119.5768,250077,64,0,陰風,13.0,2
184,2/10/2022 7:57:23 PM,"0150deb7d0,0360",Ue7237672494c6a4bbebedf37072e668a,芳遠水果行,23.567510000000002,119.56721,250127,23,0,陰風,13.0,2
187,2/10/2022 8:44:45 AM,"0150deb7d0,0188",U6594f5623ade5662784accad1314115c,欣欣麵食館,23.584529999999997,119.65867,248106,72,1,陰風,13.0,1
189,2/10/2022 9:05:49 AM,"0150deb7d0,0324",U6594f5623ade5662784accad1314115c,榕徽嬤?吃吃喝喝,23.56909,119.59924,248131,72,1,陰風,13.0,1
191,2/10/2022 9:21:57 PM,"0150deb7d0,0255",Uc6ca45181f84f93c8037448e8d1945cd,巴適麻辣鍋,23.57185,119.58141,250448,59,0,陰風,13.0,1
193,2/10/2022 9:35:05 PM,"0150deb7d0,0329",U6368c5aa5f76abbfc284f5224f2ae22a,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,250483,67,1,陰風,13.0,1
195,2/10/2022 9:37:59 PM,"0150deb7d0,0308",U6368c5aa5f76abbfc284f5224f2ae22a,沐一日式豬排專賣店,23.57319,119.57316000000002,250495,67,1,陰風,13.0,1
198,2/10/2022 9:59:58 PM,"0150deb7d0,0177",U410a9008b1cf495925182f84ce1f204e,夏天茶飲,23.571839999999998,119.57075,250564,22,1,陰風,13.0,1
200,2/11/2022 1:03:54 PM,"0150deb7d0,0125",Uac8f1738516975144175970d61cd80a6,赤崁海產行,23.570610000000002,119.57208999999999,251934,63,0,陰風,14.0,0
203,2/11/2022 1:10:04 PM,"0150deb7d0,0040",U317cec3c5157e6f8bb09cfb3a514f5cc,自由塔,23.56993769,119.5713121,251959,64,0,陰風,14.0,0
204,2/11/2022 1:12:18 PM,"0150deb7d0,0101",Ue27028025057a63c1353fc5b15c117a8,青灣餐廳,23.52903,119.55413,251966,56,0,陰風,14.0,0
206,2/11/2022 1:21:50 PM,"0150deb7d0,0175",U7a89fa99cb80c8496590501db322b56c,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57101999999999,252018,49,0,陰風,14.0,0
207,2/11/2022 1:26:05 PM,"0150deb7d0,0094",U7a89fa99cb80c8496590501db322b56c,菲菲檸檬,23.573520000000002,119.57246,252038,49,0,陰風,14.0,0
212,2/11/2022 10:55:30 PM,"0150deb7d0,0244",U1533b24c18a3e1f1479bdb79969431d9,三ㄚ店&潮style,23.56705,119.56538,254110,67,1,陰風,14.0,1
213,2/11/2022 10:59:04 AM,"0150deb7d0,0311",U7a89fa99cb80c8496590501db322b56c,澎湖 朝陽路肉圓,23.57339,119.57696999999999,251455,49,0,陰風,14.0,1
215,2/11/2022 11:15:33 PM,"0150deb7d0,0068",Uc31b6630118080fe58e0cf134b3b4124,弗洛伊得飲酒店,23.56755,119.56811,254133,46,1,陰風,14.0,1
216,2/11/2022 11:18:28 PM,"0150deb7d0,0397",U75559c3a5e306d3cdf5a9e3dbd88febf,夯小管燒x雞蛋糕,23.56476,119.58143999999999,254138,61,1,陰風,14.0,1
217,2/11/2022 11:28:49 AM,"0150deb7d0,0384",U7a89fa99cb80c8496590501db322b56c,葉子的店,23.574289999999998,119.57824,251565,49,0,陰風,14.0,0
218,2/11/2022 11:33:55 AM,"0150deb7d0,0262",U58001d9adfe8f94262b41bcaf841093b,登峰藝品行(登峰特產行),23.56505,119.56522,251580,73,0,陰風,14.0,0
222,2/11/2022 12:13:20 PM,"0150deb7d0,0393",Uf76a6f0b17ea0705968331434988e564,紐西蘭牛排館,23.57295,119.57542,251702,56,1,陰風,14.0,1
225,2/11/2022 12:33:19 PM,"0150deb7d0,0048",U317cec3c5157e6f8bb09cfb3a514f5cc,小門鯨魚洞站,23.65265094,119.5174826,251808,64,0,陰風,14.0,1
226,2/11/2022 12:33:43 PM,"0150deb7d0,0324",U83a795c9bbe7e2600837384f0bc0f999,榕徽嬤?吃吃喝喝,23.56909,119.59924,251810,30,0,陰風,14.0,1
229,2/11/2022 12:54:30 AM,"0150deb7d0,0144",U154bd291a178d1a0c85e1957dd0212bd,小小間,23.57003,119.56901,250806,66,0,陰風,14.0,0
230,2/11/2022 12:55:46 AM,"0150deb7d0,0370",U154bd291a178d1a0c85e1957dd0212bd,美味登場飯麵館,23.56881,119.57028999999999,250811,66,0,陰風,14.0,0
232,2/11/2022 2:01:36 PM,"0150deb7d0,0347",U6368c5aa5f76abbfc284f5224f2ae22a,提樂茶飲專賣店,23.566679999999998,119.5654,252186,67,1,陰風,14.0,0
233,2/11/2022 2:02:47 PM,"0150deb7d0,0165",U6368c5aa5f76abbfc284f5224f2ae22a,熊掌心健康果茶,23.563579999999998,119.56499,252190,67,1,陰風,14.0,0
234,2/11/2022 2:08:08 PM,"0150deb7d0,0374",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,奶油蝴蝶烘焙坊,23.57647,119.57387,252207,40,0,陰風,14.0,0
235,2/11/2022 2:23:47 PM,"0150deb7d0,0334",U58001d9adfe8f94262b41bcaf841093b,小熊與樹小熊燒馬公店,23.56762,119.58277,252263,73,0,陰風,14.0,0
237,2/11/2022 4:01:42 PM,"0150deb7d0,0249",U22810a86bf6c88e1580fc68bb22cc23c,秋喜肉蛋吐司,23.56867,119.5675,252599,43,1,陰風,14.0,1
238,2/11/2022 4:19:50 PM,"0150deb7d0,0338",U3bef99915c174d00c8771be3302bef5d,曾記滿福堂擔仔麵,23.57406,119.57323000000001,252675,36,0,陰風,14.0,1
239,2/11/2022 4:20:51 PM,"0150deb7d0,0329",U3bef99915c174d00c8771be3302bef5d,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,252678,36,0,陰風,14.0,1
240,2/11/2022 4:21:46 PM,"0150deb7d0,0266",U549d83ded5aae205862d9454360f140e,外垵福氣刈包,23.56469,119.47946,252684,22,0,陰風,14.0,1
241,2/11/2022 4:25:52 PM,"0150deb7d0,0292",U98d0d675417375da1eea4c4bd7cdb2e9,Mr.大雞,23.57226,119.57626,252701,15,0,陰風,14.0,1
242,2/11/2022 4:57:14 PM,"0150deb7d0,0216",U58001d9adfe8f94262b41bcaf841093b,新巴適經典麻辣鍋,23.57179,119.57882,252842,73,0,陰風,14.0,1
243,2/11/2022 5:16:41 PM,"0150deb7d0,0222",U58001d9adfe8f94262b41bcaf841093b,O le pain 喔！麵包,23.57111,119.57982,252909,73,0,陰風,14.0,2
244,2/11/2022 5:17:42 PM,"0150deb7d0,0371",Ub7e7400468a94c97e7aa9a4e08c88981,阿鳳牛肉河粉,23.57142,119.57238999999998,252920,41,0,陰風,14.0,2
245,2/11/2022 5:25:53 PM,"0150deb7d0,0144",U777bd7ab1fdf2dd08c34b34acdcf50d9,小小間,23.57003,119.56901,252965,52,0,陰風,14.0,2
246,2/11/2022 5:35:19 PM,"0150deb7d0,0216",U50284f2fcdf83512e9e4968a77e2a672,新巴適經典麻辣鍋,23.57179,119.57882,253004,55,1,陰風,14.0,2
248,2/11/2022 5:35:53 PM,"0150deb7d0,0339",U22810a86bf6c88e1580fc68bb22cc23c,秀秀蔥大餅,23.5764,119.57411,253008,43,1,陰風,14.0,2
249,2/11/2022 5:40:33 PM,"0150deb7d0,0387",U2c8b6029144a9ebb397a0994b467d2b9,純意居蔬食超市,23.57356,119.57633999999999,253031,39,0,陰風,14.0,2
250,2/11/2022 5:44:53 PM,"0150deb7d0,0144",U6368c5aa5f76abbfc284f5224f2ae22a,小小間,23.57003,119.56901,253060,67,1,陰風,14.0,2
251,2/11/2022 5:48:33 PM,"0150deb7d0,0153",U9d74e50af944020a75cdc3d1928eddee,找食間,23.57331,119.56867,253088,54,1,陰風,14.0,2
252,2/11/2022 6:08:26 PM,"0150deb7d0,0436",U410a9008b1cf495925182f84ce1f204e,味真香新港鴨肉羹臭豆腐,23.57536,119.57441999999999,253193,22,1,陰風,14.0,2
253,2/11/2022 6:13:39 PM,"0150deb7d0,0072",U3bef99915c174d00c8771be3302bef5d,日香美食坊歡迎您～,23.57466,119.5768,253217,36,0,陰風,14.0,2
